breed_id,breed_name,breed_image,breed_origin,breed_male_weight_min,breed_make_weight_max,breed_female_weight_min,breed_female_weight_max,breed_male_height_min,breed_male_height_max,breed_female_height_min,breed_female_height_max,breed_life_expectancy_min,breed_life_expectancy_max,breed_litter_size_min,breed_litter_size_max,breed_highlight,breed_appearance,breed_history,breed_health_care,breed_living_condition,breed_exercise,breed_grooming,breed_pros,breed_cons
,Bull Mastiff,mastiff.jpg,United Kingdom,50,60,45,54,63,69,61,66,8,10,4,13,The Bullmastiff is a gigantic domestic breed with a concrete build and a short muzzle. There is a lot in common between the features of Bullmastiff and those of the molosser dogs. The breed boasts of ancestral connections with the English mastiff and the extinct Old English Mastiff,"The large, broad skull is crinkly and the muzzle is broad, deep and usually darker in color. The forehead is flat and the stop is moderate. The black nose is wide and has large nostrils. The teeth converge in a level or undershot bite. The medium sized eyes are dark hazel. The V-shaped ears are set high and wide, carried close to the cheeks, giving a square appearance to the skull. The strong tail is set high, thicker at the root and tapers gradually. It is either straight or curved, and reaches to the hocks. The back is short, straight and even between the withers and the loin. The short, dense, slightly rough coat comes in brindle, fawn, or red, often with black markings on the head.","Bred by English gamekeepers in the 19th century to assist English wardens or gamekeepers guard estates and capture poachers. That is why, the Bullmastiff is known as the Gamekeeper's Night Dog. The gamekeepers opted for the brindle color, as it serves primarily as an effective camouflage, especially at night.","This dog breed is prone to mast cell tumors, cancer, hip dysplasia, tumors, eyelid problems, PRA and boils on the lips, bloat. It is advisable to feed the Bull Mastiff two or three small meals daily instead of providing one large meal. As this breed gains weight easily, overfeeding is forbidden.","Bullmastiffs can adjust themselves to an apartment if they are adequately exercised. They are quite lethargic indoors, and a small yard can do them a world of good. They are, however, ill-equipped to endure the oppressive heat.","Bullmastiffs need to be taken on a daily walk to fulfill their primal canine instinct to migrate. Those individuals who fail in fulfilling this need are more likely to confront behavior issues. While out on the walk, the dog must be made to heel beside or behind the person leading the way forward (this is essential as loyalty towards humans makes dogs set great store by them). Teach them to enter and exit all door and gateways after the human.","The short haired, slightly rough coat is easy to groom. Comb and brush with a firm bristle brush, and shampoo only when necessary. There is little shedding with this breed. Check the feet regularly because they carry a lot of weight, and trim the nails.","Short, easy-and-quick-care coatSerene and tranquil indoors as an adult makes a quintessential watchdogdoesn't require too much exercising",takes a lot of space in your house and car a heavy-weight dog who wants to sit on his owner’s  feet and lean his weight against the owner's leg too much jumping when young (though many dog breeds do this when young)ferocious when tedious or inattentive
,Boxer,boxer.jpg,Germany,25,32,25,32,57,63,53,60,9,10,6,8,"Boxers are known for bursting with energy and plenty of exercise is a prerequisite for them. You should have the time, resolve, and vigour to give them the play and activity they need. Boxers are exuberant and will greet you ecstatically.","The Boxer's body is compact and sturdy. The size of the head is in proportion to that of the body. The muzzle is short and blunt with a distinct stop. The nose is large and black with very open nostrils. The jaw has an under bite. The eyes are dark brown in color. The ears are set high, either cropped or kept natural. When cropped, they are trained to stand up on the head, tapering to a point. When left in their natural form, the ears are thin, falling forward, lying close to the head. The neck should be round, strong and muscular, without a dewlap. The muscular front legs seem to be straight and parallel when viewed from the front. The back legs are muscular. The tail is set high and usually docked. The AKC severely penalizes a natural tail, while most of Europe has outlawed this practice. Dewclaws are usually removed. The short, smooth, close-fitting coat comes in fawn, brindle, tan, mahogany and black often with white markings. Boxers with a white coat cannot be registered with some clubs.","The breed burst onto the scene in different areas of Europe in the late 19th century and in the United States towards the turn of the 20th century. The American Kennel Club (AKC) registered the first Boxer in 1904, and acknowledged the first Boxer champion, Dampf vom Dom, in 1915. During World War I, the Boxer was co-opted for military work, embracing the role of a key messenger dog, pack-carrier, attack dog, and guard dog.","The bull dogs can be vulnerable to cardiomyopathy and other heart problems, sub-aortic stenosis and thyroid, skin and other allergies, epilepsy. They are more likely to pick up tumor-related diseases compared to other breeds. They are, moreover, quite susceptible to cancer, mast cell tumors, arthritis, hip dysplasia, back and knee issues. These dogs may drool and snore. The breed has excessive flatulence, especially when fed something other than their own dog food. Some white Boxers are prone to deafness.","Boxers will fit into an apartment quite well if sufficiently exercised. They are buzzing with energy and vigor in indoor conditions and at least an average-sized yard is a necessity for them. Boxers are temperature-sensitive, getting easily overheated and chilling very quickly.","An active, athletic breed, Boxers need daily work or exercise, as well as a long brisk, daily walk. They also enjoy fetching a ball or other sessions of play.","The Boxer's smooth, shorthaired coat is easy to groom. Brush with a firm bristle brush, and bathe only when necessary, for it removes the natural oils from the skin. Some Boxers try and keep themselves clean, grooming themselves like a cat, although some cannot resist rolling in another animal’s poop, which calls for a bath. This breed is an average shedder.","The pros of owning an English bulldog are so many that they can easily overpower the cons. There are exiguous dogs that have the same degree of stoicism as the bulldog, thereby making it the quintessential family pet. Children adore these dogs immensely. Bull dogs are known for their fidelity and affectionate attitude. They are the perfect “nanny” dog for children, and equally favoured by the elderly, not dashing around their feet and tripping them and large enough for them to be easily seen.The English bulldog, once he has surpassed the lively puppy stage, becomes stolid and sluggish, heavy and ponderous, and can hardly be provoked. Finding a short-tempered bulldog is out of the bounds of possibility.","There are some demerits of owning an English bulldog. He is definitely not easy to train due to his obdurateness; the bulldog will consume quite a lot of time to learn things, albeit once he has grasped something, it will be stamped on his memory forever. Food is the key to bulldog training (a system of rewards is the backbone of a suitable training mechanism as it makes them quite responsive and engaged).As a breed, the bulldog is an avid eater. So, the owner has to be pragmatic and ration food amounts to avoid this heavy breed from becoming seriously overweight."
,Chippiparai,chippiparai.jpg,India,15,20,15,20,60,63,50,58,12,15,4,6,"Graceful Chippiparai is a sighthound that originated and has been bred in Tamil Nadu, South India. Often put in the same league as the Greyhound because of its incredible agility and lean body, the Chippiparai embodies the strong and silent hound dog. These dogs are perfect guard dogs for homes as well as estates, sharp and valiant enough to protect the family, and affectionate and loyal enough to be hailed as outstanding family pets. ","Chippiparais are sight hounds, and have eyes positioned in such a way as to give them a 270 degree scope of vision – much more than most other breeds. They are known chiefly for their scrawny and skinny appearance. They are quite healthy and well-bodied. However, their muscles and bones, as opposed to their body fat, account for most of their weight.","Breed by the royal families of Chippiparai near Madurai district in Tamil Nadu, India, the Chippiparai was and continues to carry on the legacy of regality and nobility left by many Tirunelveli and Madurai rulers. Chippiparais are known to be aggressive hunters and were bred for this specific purpose. They were predominantly used to find and kill their prey, mainly deer, wild boar, and hare.","Generally the breed is healthy. Though sturdy enough to withstand adverse climatic conditions with limited means, the breed is resistant to cold weather. They are also  plagued by certain general health issues, such as sensitivity to anesthesia and food allergies.",Generally outdoor dogs as they are used as hunting dogs.,These dogs require daily walks and running.,"Chippiparais have short coats and do not require much grooming. You can brush them once or twice a week. Like most breeds, they love being massaged, so they will never complain about being brushed with a soft brush or a hound mitt.","Ideal for Indian weather , Perfect guard dog and watchdog for the family, Easy to groom","Needs regular exercise, Not comfortable with small children and smaller pets, Can attach themselves to one person and be suspicious of everyone else"
,Dalmation,dalmation.jpg,Croatia,20,25,18,22,58,61,56,58,10,15,6,9,"The Dalmatian is a large purebred known for being hostile, vigilant, agreeable, intrepid, dynamic, amiable, independent, intelligent, trustworthy, flashy, and playful. The most common colors for Dalmatians are black, brown, and white. ","The Dalmatian is a large, strong, muscular dog. The skull is about as wide as it is long, and flat on the top. The muzzle is about the same length as the top of the skull. The stop is moderate but well defined. The nose can be black, brown (liver), blue or a dark gray that looks like black. The teeth meet in a scissors bite. The medium-sized round eyes are brown, blue or a combination of both. The ears are set high, hanging down, gradually tapering to a rounded tip. The chest is deep. The base of the tail is level with the topline and tapers to the tip. The feet are round with arched toes. Toenails are white and/or black in black-spotted dogs and brown and/or white in liver-spotted dogs. The short coat has fine dense hairs. ","The breed had been developed and cultivated chiefly in England. The first unofficial standard for the breed was introduced by an Englishman Vero Shaw in 1882. In 1890, with the formation of the first Dalmatian Club in England, the standard became official. When the dog with the distinctive markings was first shown in England in 1862, it was said to have been used as a guard dog and companion to the nomads of Dalmatia. The popularity of the breed's unique coat spread like wildfire so much that it was distributed to virtually each and every nook and corner of the European continent in 1920 and onwards. Its unusual markings were often mentioned by the old writers on cynology.","This breed is notorious for alarmingly high deafness levels; about 10-12% are born deaf. Dalmatian puppies should be BAER-tested for deafness at about 6 weeks old, and totally deaf puppies should be spayed or neutered. While the breeding of deaf puppies should be avoided, it is very possible to raise a well-adjusted deaf dog. They can be prone to urinary stones, as uric acid levels in Dalmatians are, in general, higher than in any other breed, sometimes trigerring urinary blockage. They can also fall prey to skin allergies, such as synthetic fibers in carpets and upholstery.",A Dalmatian is not an ideal dog for apartment dwellers unless it can be taken out for a brisk walk or run several times a day. They are very active indoors and will do best with at least an average-sized yard. Not suited to living outside in cold climates.,"This is a very energetic dog with enormous stamina. They need to be taken on daily, long, brisk walks or jogs where the dog is made to heel beside or behind the human leading the way forward, as instinct tells a dog that the leader leads the way, and that leader needs to be the human. In addition, it needs plenty of opportunity to run, preferably off the leash in a safe area. If these dogs are allowed to get bored, and are not walked or jogged daily, they can turn ballistic and start to display a wide range of behavioral problems. They love to run!",The Dalmatian sheds all year round but does copiously only twice a year. Brush frequently to help manage the constant shedding. They do not have a doggy odor and are said to be clean and even avoid puddles. Bathe only when necessary.,"Merrymaking, zealous! Lively, active! Ideal family dog Intelligent, obeisant, quick to learn People-oriented, fabulous house dog and a reliable companion for all sorts of indoor and outdoor environments. Natural affinity for horses, adores hiking, jogging, biking and rollerblading with owner.","May be extremely peppy and sprightly with young children. Small children shouldalways have adult supervision when playing with any dog. Need gentle, motivational obedience training as early as possible. Not suitable for people who will not set clear limits.Not a yard/kennel dog - needs to be made an inalienable part of the human family."
,Doberman Pinscher,doberman.jpg,Germany,40,45,32,35,68,72,63,68,9,12,7,8,"Potent in the hindquarters, acrobatic breed Trustworthy companion, unbelievably strong breed.","Medium-sized, square-proportion bulid Rusted colour marks on both of the eyes. White patch is visible on the chest In various colours, such as black, red, blue, fawn","Louis Dobermann, a German tax collector, is generally accredited with the creation of the Doberman Pinscher. That is why, the breed is named after him. In his quest for a watchful guard dog to accompany him during his rounds, Dobermann developed the Doberman Pinscher in the late 19th century by crossing the old German shorthaired shepherd and the German Pinscher.","The Doberman Pinscher has a lifespan of 10 to 12 years. Wobbler's syndrome, cervical vertebral instability (CVI), and cardiomyopathy are some of the grave problems affecting Dobermans; a few of the minor diseases that this breed suffer from include canine hip dysplasia (CHD) osteosarcoma, von Willebrand's disease (vWD), demodicosis, and gastric torsion. Albinism, narcolepsy, hypothyroidism, and progressive retinal atrophy (PRA) occasionally plague the Dobermans, whereas the Blue Doberman is more vulnerable to hair loss. The Doberman requires daily mental and physical exertion or it may turn devastative, uneasy or frustrated. This need can be easily met with a walk on a leash, a run in an enclosed area, or a long jog. The Doberman Pinscher can peacefully live outdoors in a cool climate.","If provided adequate exercise, this dog breed can live comfortably in an apartment. But, the most ideal environment for the Pinscher is an average-sized yard at the very least. Dobes are very cold-sensitive and cannot be tagged as extrovert ones. So, the police in areas known for freezing temperatures keep them in abeyance.",The Doberman is inordinately vigorous and possesses tons of stamina. While out on the walk the dog must be made to heel beside or behind the person leading the way forward (this is essential as loyalty towards humans makes dogs set great store by them).,Dobes need little grooming and are average shedders,"Contrary to popular belief, the Doberman is no longer as hostile and aggressive as it once was. Today, a pet Doberman can be just as affectionate and amiable as your average dog. Hence, the dog can be treated just like another family member. This will help the dog to be more adorable and jolly. In case there is enough time at your disposal to train the dog, it will be straightforward to manage him or her.","It is the natural instinct of the Doberman Pinschers to be frisky. Since they may be bigger in size than your child, they can act somewhat roughly without realizing it during the time of wrestling"
,Great Dane,great_dane.jpg,Germany,50,54,50,54,38,46,38,46,6,8,10,14,"The Great Dane bears the hallmark of royal lineage. The attributes of majesty, robustness and sophistication are supplemented by a body with a formidable build and smooth muscles. It is one of the giant working breeds, but its overall figure is so compact that it never seems to be awkward and unorganized. The dog’s all-rounded body structure helps it cover a lot of ground while pushing forward, and also fuels its energy and momentum for hunting.","The Great Dane is a real powerhouse and huge in size. Although it is generally square in body, females may be slightly longer and their head is rectangular in shape. The muzzle is deep, with a pronounced stop. The nose is black or blue in case of blue Danes, whereas in the case of harlequins, it bears a black spotted colour. The dark, deep-set eyes are medium in size. The medium-sized ears are set high and either cropped or left natural. If left in their natural state, they are folded forward, hanging close to the cheek.","References of colossally sized boarhounds bearing resemblance to the Great Dane feature in ancient Greece in frescoes from Tiryns dating back to 14th–13th century BC. Ancient Greek history belonging to the time period between the succeeding centuries and the advent of the Hellenistic era records a great deal about these boarhounds. The Molossian hound, Suliot dog and specific imports from Greece were utilized in the 18th century to enhance the stature of the boarhounds in Austria and Germany and the wolfhounds in Ireland.",Generally healthy.,"This breed is susceptible to hip dysplasia, bloat, heart diseases, tail injuries, mast cell tumors. Jogging is not recommended until the dog attains the age of at least one year, however, walking is a must. This breed’s longevity is short-lived.",The Great Dane needs loads of exercise. It needs to be taken on a daily long walk.,"The smooth, shorthaired coat is easy to groom. Comb and brush with a firm bristle brush and dry shampoo when necessary. As bathing this gigantic dog is a major and cumbersome chore. Thus, daily grooming has to be emphasized upon to save on both effort and time. The nails must be kept trimmed. This breed is an average shedder.","They are ideal for gymnastics, The legs are tailor-made for snuggling up with puppies,The longer the legs, the bigger the stretch,High legs means high jumps.", Great Danes will NEVER fit through the doggie door. Sometimes they can get tangled up… in everything. The legs don’t quite accommodate the couch when napping.
,Grey Hound,greyhound.jpg,England,27,40,27,34,71,76,27,34,9,11,1,12,"Greyhounds were originally bred as hunting dogs to hunt down hare, foxes, and deer. Canines in this dog breed are extremely fast and furious, clocking speeds as high as 40 to 45 miles per hour. Because of their blazing fast speeds, they are touted as Ferraris of the dog world. Greyhounds made a mark in the domain of racing eons ago, and even today, they are a force to reckon with in races.","Greyhounds have very short fur, which is pretty straightforward to maintain. They are visible in many well-known colors, There are approximately thirty recognized color forms, such as white, brindle, fawn, black, red and blue (gray). Sometimes, they can be witnessed in a combination of those colors as well. Greyhounds are dolichocephalic, i.e. they possess a skull that is long in comparison to its breadth, and they also feature an elongated muzzle.","It is widely believed that the word ‘greyhound’ has been derived from the Old English word ‘grighund.’ ""Hund"" is the antecedent of the modern ""hound"", but the meaning of ""grig"" is yet to be deciphered; however, the latter appears in many texts composed Old English and Old Norse. The word ‘grey,’ a part of the name of the breed is somewhat misleading as the Greyhound can be noticed in a miscellany of coat colors. The lighter colors, patch-like markings and white appeared in the breed that was once ordinarily grey in color. The Greyhound is the only dog mentioned by name in the Bible; many versions, including the King James version, name the Greyhound as one of the ""four things stately"" in the Proverbs. However, some newer biblical translations, including The New International Version, have changed this to strutting rooster, which appears to be an alternative translation of the Hebrew term ‘mothen zarzir’.",Generally healthy.,"Greyhounds are vulnerable to bloat. It is recommended to feed them 2 or 3 small meals rather than one large one. They are sensitive to drugs, including insecticides. It is said that they are also prone to hypothyroidism. Nevertheless, Greyhounds' thyroid levels are naturally lower than most dogs and many people unknowingly subject them to unnecessary medical treatment for hypothyroidism. While treating the dog for thyroid issues, an experienced and proficient vet has to be consulted, otherwise the dog’s health can be at stake.","Greyhounds that are kept as pets should have regular opportunities to run free on an open ground in a safe area and relish daily long, brisk walks, where the dog is made to heel beside or behind the person leading the way forward (this is essential as loyalty towards humans makes dogs set great store by them). Greyhounds love to lead a routinely lifestyle.","The smooth, shorthaired coat is very easy to groom. Simply comb and brush with a firm bristle brush, and dry shampoo only when necessary. This breed is an average shedder.","Greyhounds are easy to live with, bred for quick bursts of energy and after-exercise sleep for most part of the day.Being tolerant dogs, they are used to live with other canines without entering into scuffles. They are quite decent with other animals and human beings.Your neighbours will appreciate the fact that your greyhound is not a compulsive barker.Greyhound coat is easy to keep and clean, and is barren of the typical pungent odour associated with dogs.","Being large dogs, they can and will steal from kitchen counters and occupy a large portion of your sofa.For these dogs, a soft bed is a prime necessity. Hence, provide one to them if you don’t want to share yours.Greyhounds are prone to safety risks near high-traffic areas and roads; so, fences and leashes are a must in such regions."
,Mudhol Hound,mudhol.jpg,India,22,28,20,25,29,35,29,35,13,18,6,9,"The Mudhol Hound can be called one of the most protean breeds, purely on the merit of the wide variety of names assigned to it. No other dog breed as many names as the Mudhol Hound. This pure bred Indian breed is a type of sight hound. As is the case with other India-bred hounds, the Mudhol Hound and the Greyhound are alike in many respects. ","The Mudhol or Caravan hound has numerous well-defined characteristics. The head is long and narrow, broad between the ears with a tapering muzzle. The jaws are long and powerful, with a scissors bite. The nose is large and black. The ears are pendulous and hang close to the skull. The eyes are large and oval in shape, from dark to hazel. The expression is a piercing gaze. The neck is long, clean, and muscular, and fits well into the shoulders. The forelegs are long and straight. The back is long, broad and well-muscled. The loins are wide and deep. The chest is strong and deep with well sprung ribs. The abdomen is tucked in. The hind quarters appear wide and well-muscled. The tail is set on low, strong at the base and tapering, quite long and carried in a natural curve. The gait is high-footed, flexing all four legs, but should not be hackneyed.","The Caravan was introduced to the Deccan Plateau of western India from Central Asia and Arabia, and can thus be considered a direct descendant of the Saluki or Tazi. This region covers mainly parts of the states of Karnataka, Maharashtra, and, to a lesser degree, Andhra Pradesh. The breed is popular in and around Mudhol Taluk of Karnataka, thereby giving rise to the breed’s name, i.e. Mudhol hound.","The Caravan Hound is a perfect example of the doctrine ‘Survival of the fittest.’ Consequently, the breed suffers from no specific health issues.","The Caravan Hound cannot live properly in an apartment. It happens to be in its comfort zone in a home with access to a large, fenced yard. It abhors cold, wet climates. It is happiest outdoors, and is at home in tropical climates. If kept in a cold environment, extra protection such as winter coats and doggy boots are required. This is not the type of dog that loves living solitarily; it needs human interaction and must be an integrated member of the family.","Being a sighthound, the Caravan needs a tremendous amount of daily exercise in order to remain physically and mentally sound. Daily long walks where the dog is made to heel beside or behind the person holding the lead are essential, coupled with long, weekly or bi-weekly running sessions in a large, enclosed, safe area. Never allow a Caravan off leash on an unfenced ground, as its intense prey drive has the ability to become selectively deaf to its master’s calls. Exercise is one of the key ingredients for the development of a well-adjusted Caravan. So, if you cannot provide enough of it, please opt for another dog breed.",None is required for the smooth variety. A weekly brushing for the feathered is all that is needed. The Caravan Hound is an average shedder.,One of the healthiest living dogs around. Ideal for Indian weather. Easy to groom.,It is a one-man dog. Does not deal with strangers well. Can be temperamental.
,Nepolian Mastiff,nepolian_mastiff.jpg,Italy,70,74,70,74,65,75,60,70,8,10,6,12,"The Neapolitan Mastiff is a robust and concerned dog. The body of this gigantic, rather rectangular-looking dog is replete with hanging wrinkles and folds on the head, and a very large dewlap. The wide, flat head is larger than the remainder of the body.","The Neapolitan Mastiff is a giant purebred. It has made its presence felt in the dog world because of being vigilant, liberal, trustworthy, and protective. Black, blue and grey are the major colors in which the Neapolitan Mastiff can be perceived.","The Neapolitan Mastiff is one of the Molosser type of dogs, which probably descended from a common stock (whether or not this stock is the Molossus attested in antiquity remains shrouded in an air of mystery.) In spite of being a treasured breed for most of the Europeans for centuries, this type of dog virtually withered away with the cessation of the World War II. Subsequently, the Italian painter Piero Scanziani established a breeding kennel to turn the Mastiff-type dogs of Italy into a formal breed, which was later named the Neapolitan Mastiff, and the English Mastiff was put into application for facilitating this process.","Vulnerable to cherry eye, hip dysplasia, bloat, pano-ostiosis (joint pain from growth can occur at 4-18 months and usually goes away on its own). Pups are usually born via caesarian section.","The Neo will seamlessly integrate itself into an apartment lifestyle if it is sufficiently exercised. It is quite inert indoors and a small yard will keep it in a pleasant mood. Adopt precautionary measures in warm weather, such as providing shade, water and a cool place to lie.","Adult Neapolitan Mastiffs need a vast amount of exercise. They should be taken on daily, long walks at least twice a day. While out on the walk the dog must be made to heel beside or behind the person leading the way forward, as in a dog's mind the leader leads the way, and that leader needs to be the human. Teach your dog to enter and exit all door and gateways after the human.","These giant, shorthaired dogs are easy to groom. Remove loose, dead hair with a rubber brush. This breed is an average shedder.","There are countless reasons why people long for a Neo. Dogs of this breed are faithful as well as diligent. They are protective and gentle. They evince a favorable and amiable attitude towards children. Last but definitely not the least, these dogs are considered as one of the best family dogs.","There are some downsides to owning a giant breed. They come at a premium cost. Additionally, you have to stretch your budget quite a bit for keeping this breed in fine fettle. Giant breeds are inordinately ravenous in nature, and gobble more food than small and medium sized dogs. On top of that, you may need to feed your giant Neo a special diet to properly attend to its joint issues or to eliminate the chances of problems typically associated with an obese dog."
,Rajapalyam,rajapalyam.jpg,India,20,25,15,20,60,65,55,60,9,10,7,8,"This is one of the few pedigree dogs that the country of India is known for. However, this dog breed is gradually dwindling and almost heading towards the stage of extinction, with Tamil Nadu being the sole Indian state to be the home to a small number of dogs of this breed. Of late, multiple efforts and initiatives have been undertaken to promote the breed and enhance their popularity in the nation.","Most Rajapalyam owners favor a milk white-colored dog, with a pink nose and golden eyes. However, the Rajapalyam breed is also discernible in various other colors, including spotted or solid, black, and brown. The spots will start appearing nearly 80 days after their birth. In the previous times, colored puppies were usually culled from the litters since the owners preferred the pure white dogs. The coat of these dogs is short and fine in nature. An incredibly eye-catching and graceful dog, the Rajapalayam consists of a gait similar to the trotting of a thoroughbred horse. Most of the entirely white dogs are beset by deafness, and this breed is not an exception to this norm either.","Rajapalayam hounds were primarily bred and used by the Nayakar dynasty of Tamil Nadu. It is speculated by some researchers that the Rajapalayam may have been one of the dogs used in the breeding of the modern Dalmatian. The Rajapalayam dog was pressed into service during the Carnatic Wars and Polygar War to launch an offensive against the British cavalry in battles as Rajapalayams were quite swift, powerful and pugnacious while tackling the opponents. It is also believed that 4 Rajapalayams not only saved the life of their master combating a tiger, but also valiantly drove the tiger to its death many years ago near a forest in the Virudhunagar district of Tamil Nadu. They are extensively used to protect the rice fields, houses and farms. In the last two decades, Indian Army started using them as guard dogs to support the army in the border regions of Kashmir.","Rajapalayams are, in general, a salubrious breed. But, it is worth mentioning that caution has to be exercised after bringing a puppy home, as each and every breed can reel under genetic disorders, and other common diseases, like deafness, melanocytes, etc.",These dogs typically adore the outdoor environment.,"The Rajapalayam needs a daily walk or jog. While out on the walk the dog must be made to heel beside or behind the person leading the way forward (this is essential as loyalty towards humans makes dogs set great store by them). These dogs are vivacious and sprightly, and feel quite cheerful when allowed to romp and play, especially if their owner or a companion dog joins in the fun.",Easy to groomVery less grooming required inbrush. This breed is an average shredder.,A Pedigree Indian dog Splendid guard dogs Can easily accommodate to Indian conditions,Need experienced owners Training requires forbearance instinct compels them to chase and hunt down smaller animals like rabbits.
,Rottweiler,rottweiler.jpg,Germany,43,59,63,69,61,69,53,63,7,9,4,12,"A Rottweiler is of solid strength. It has a massive powerful body, and substantial build. The Rottweiler is an intelligent fearless dog breed developed in Germany. Due to their confident, bold, alert and imposing nature Rottweiler is a popular choice for its ability to guard. It may be overly protective if it senses that its family is being threatened. They are used to search and rescue operations. They are also used for police work. This pre-dominant breed that needs socialization consistent training and regular activity to be the best it can be.","Rottweilers are powerful dogs with athletic, muscular bodies and large, broad heads. They are slightly longer than they are tall, with a level topline. The ears are pendant and triangular; the nose black and wide. The lips are also black, as is the inside of the mouth. The eyes are deep set, almond-shaped and dark brown. Teeth should meet in a scissors bite. The tail is customarily docked and dewclaws removed. The short, black coat is highlighted with clearly defined markings over the eyes, on the cheeks, chest, lower legs and under the tail.","Rottweilers descend from the Molossus, a mastiff-type dog. Their ancestors marched to Germany with the Romans, driving the cattle that sustained them as they conquered the known world. As the army traveled, the big dogs mated with dogs that were native to the areas they passed through and laid the foundation for new breeds.They were originally used for activities like cattle herding, bear hunting, pulling carts, guarding properties. Currently rottweilers are used as gaurd dogs , police dogs, guide dog for diabled and therapy dog.","The average life span of the Rottweiler is 10 to 12 years. Breed health concerns may include allergies, cranial cruciate ligament injury, bloat, cancer, elbow and hip dysplasia, epilepsy, congenital deafness, entropion, distichiasis, medial canthal pocket syndrome, iris cysts, progressive retinal atrophy, subaortic stenosis, follicular lipidosis, mucocutaneous hypopigmentation (on the lips and nose), parvoviral infection, eosinophilic gastroenteritis, enteritis and enterocolitis, hypothyroidism, osteochondrosis dissecans (OCD), paneosteitis andvon Willebrand disease","Rotweilers are inactive indoors. Suitable for living in small spaces , such as an apartment if sufficiently excercised.","While going on walks is vital for your rottweiler, there are other ways you can exercise him in addition to taking hikes. Playing fetch in the yard is a good way of working off some extra energy and is essential if your dog can't run off the lead while on his walks. You might also want to take part in sort kind of activity, such as agility or heel-work to music, which will give your canine companion some exercise, while also teaching him obedience skills.","Brush the Rottweiler on a weekly basis to remove loose hair and distribute natural skin oils to help keep the coat shiny and healthy. Twice a year the Rottweiler will shed heavily, and brushing may need to occur two or three times per week, or daily depending on the individual. Bathe only as needed.Check the ears on a regular basis for signs of wax buildup, irritation or infection. Clean the ears with a cotton ball and a veterinarian-approved cleanser; never use a cotton swab in a dog's ear canal. Teeth should be brushed on a weekly basis to prevent tartar buildup, promote gum health and keep bad breath at bay. Trim nails monthly if the dog does not wear the toenails down naturally outdoors.","The Rottweiler is courageous, loyal, protective and devoted to their family and will protect it fiercely. Although powerful they are very intelligent, calm and trainable. The Rottie has proved itself in police and military work through the centuries and has even been trained for obedience competition.","The Rottweiler is courageous, loyal, protective and devoted to their family and will protect it fiercely. Although powerful they are very intelligent, calm and trainable. The Rottie has proved itself in police and military work through the centuries and has even been trained for obedience competition."
,Saint Bernard,saint_bernard.jpg,Switzerland,64,120,80,110,70,90,65,80,8,10,8,10,Saint Bernard is a giant sized breed. Black shading is found on the face and ears. Legs of Bernard’s are generally muscular. They adapt well to a living apartment. bernards body is a bit on the muscular side. Saint Bernard’s are mostly known as nanny dogs,"The head is broad with well-developed cheekbones, the muzzle is not tapered and a deep furrow runs from the muzzle attachment up between the eyes. The ears are medium in size, set high atop the head and stand away from the head at the base, with the flaps drooping towards the head. The teeth meet in a scissors bite. The dark brown eyes are set front. The neck is thick. The broad back is perfectly straight. The tail is long and bushy and may be carried slightly bent upward. The coat comes in short and long varieties and may be red, red with white, or brindle with white.","There is ample evidence that the dog breed is a primitive one. Using the credible written or visual evidence available, it is quite a daunting task to establish a linkage between the breed of the present times and specific Afghan owners or places. Dog maniacs, non-scientific breed books and websites chronicle enough information lending credence to the fact that the Afghan Hound has emanated from the prehistoric era. The ties shared by the breed with other types and breeds from the same area can act as a vivid reflection or mirror of the history. For instance, a savory desert coursing called Tazi (sag-e- tazi) is reminiscent of a breed known as Tazi (another name for Afghan Hound) that can be related to the Caspian Sea area of Russia and Turkmenistan. Some other types or breeds of similar appearance are the Taigan from the mountainous Tian Shan region along the Chinese border of Afghanistan, and the Barakzay, or Kurram Valley Hound.",Generally healthy.,"The Afghan Hound cannot acclimatize itself to a typical apartment life. They are quite indolent indoors and they can immaculately blend themselves with acreages. Even though the Afghan Hound can live both indoors and outdoors, when it comes to sleeping, an indoor environment suits them the most. On balance, it can be surmised that they are tailor-made for external environment.","It is essential to take the Afghan Hound on a long daily walk or jog. While walking or jogging, it is advisable to make the dog heel beside or behind the person preceding him. This is because a dog has utmost respect for a human leader that shows him the way. If this breed is kept detached from walking on a daily basis, it might be afflicted with behavioral issues. The trainer should indoctrinate them in the need to enter and exit doors and gateways after the humans. They also adore running freely in an open, fenced, safe area.","The long, thick coat is aesthetic enough to capture the imagination of any person. To keep the dog in a hygienic condition, bathe it when necessary. Do not brush in between baths in order to keep the coat long and luminous. Brushing a dry coat will roughen and harm the coat, as well as make it more easily matted. Weekly baths do not matter that much if your Afghan Hound is a pet and not going to be exposed to the external environment, but doing so will make the coat less matted and save you time in the long run. Many wear snoods indoors to safeguard their ears from food bowls. Some owners prefer to use a special air- cushioned brush, called a pinbrush. This breed is an average shredder.","Finesse, smartness and glamour get a whole new meaning with Afghan hounds. They can be the real deal for owners eyeing dogs of relatively larger size as they are quite lightweight. Since this breed features a contiguous and smooth coat that does not shed, it is not cumbersome","Grooming this dog is a must. This is because the dog’s coat is really long. If the coat is not brushed regularly, it will get matted and may become disheveled. Whenever the hounds are exposed to fenced yards, leashes should be employed because their instinct compels them to chase and hunt down smaller animals like rabbits."
